,dim,size,total MST weight,avg edge weight,duration (s)
0,0.0,2.0,0.391986,0.391986,0.005811929702758789
1,2.0,2.0,0.391986,0.391986,0.005127906799316406
2,3.0,2.0,0.391986,0.391986,0.004602909088134766
3,4.0,2.0,0.391986,0.391986,0.004678249359130859
4,0.0,4.0,1.52767,0.509224,0.006289958953857422
5,2.0,4.0,1.52767,0.509224,0.005213022232055664
6,3.0,4.0,1.52767,0.509224,0.004729032516479492
7,4.0,4.0,2.07371,0.691235,0.004616975784301758
8,0.0,8.0,6.05408,0.864869,0.00500798225402832
9,2.0,8.0,6.05408,0.864869,0.004821062088012695
10,3.0,8.0,6.05408,0.864869,0.004295825958251953
11,4.0,8.0,6.05408,0.864869,0.0057489871978759766
12,0.0,16.0,13.6208,0.90805,0.0101318359375
13,2.0,16.0,13.6208,0.90805,0.03473520278930664
14,3.0,16.0,13.6208,0.90805,0.016431093215942383
15,4.0,16.0,13.6208,0.90805,0.004667043685913086
16,0.0,32.0,29.6504,0.956465,0.006296873092651367
17,2.0,32.0,29.6504,0.956465,0.006600856781005859
18,3.0,32.0,29.6504,0.956465,0.0059740543365478516
19,4.0,32.0,29.6504,0.956465,0.005713939666748047
20,0.0,64.0,61.6426,0.978454,0.012041807174682617
21,2.0,64.0,61.6426,0.978454,0.011410951614379883
22,3.0,64.0,61.6426,0.978454,0.011526107788085938
23,4.0,64.0,61.6426,0.978454,0.011143922805786133
24,0.0,128.0,125.491,0.988119,0.08311796188354492
25,2.0,128.0,125.491,0.988119,0.0801551342010498
26,3.0,128.0,125.491,0.988119,0.08080291748046875
27,4.0,128.0,125.491,0.988119,0.08085894584655762
28,0.0,256.0,253.708,0.994485,1.485300064086914
29,2.0,256.0,253.834,0.995427,1.481900930404663
30,3.0,256.0,253.795,0.995152,1.566075325012207
31,4.0,256.0,253.768,0.995457,1.9001729488372803
32,0.0,512.0,509.722,0.997759,34.94990396499634
33,2.0,512.0,509.719,0.997655,30.36095905303955
34,3.0,512.0,509.823,0.997694,32.907097816467285
35,4.0,512.0,509.843,0.997501,32.216001987457275
