,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,128.0,1.03451,0.00814578,0.0296717,127.0,0.012769222259521484
1,2.0,128.0,7.12532,0.0561049,0.144738,127.0,0.025595903396606445
2,3.0,128.0,17.1587,0.135108,0.30149,127.0,0.022557973861694336
3,4.0,128.0,29.7727,0.234431,0.511082,127.0,0.022687911987304688
4,0.0,256.0,1.16263,0.00455934,0.0292036,255.0,0.03435397148132324
5,2.0,256.0,10.559,0.041408,0.0978188,255.0,0.06957411766052246
6,3.0,256.0,27.4819,0.107772,0.223637,255.0,0.06920218467712402
7,4.0,256.0,48.2772,0.189323,0.31471,255.0,0.07307887077331543
8,0.0,512.0,1.20137,0.00235102,0.0182917,511.0,0.13440990447998047
9,2.0,512.0,15.1922,0.0297303,0.0631273,511.0,0.26938796043395996
10,3.0,512.0,43.7281,0.0855735,0.167895,511.0,0.2720351219177246
11,4.0,512.0,78.9963,0.154592,0.334418,511.0,0.28994297981262207
12,0.0,1024.0,1.24589,0.00121788,0.00949863,1023.0,0.5595982074737549
13,2.0,1024.0,20.9689,0.0204974,0.0587969,1023.0,1.0591917037963867
14,3.0,1024.0,68.5664,0.0670249,0.130783,1023.0,1.0916848182678223
15,4.0,1024.0,130.909,0.127966,0.257293,1023.0,1.1833069324493408
16,0.0,2048.0,1.23623,0.000603921,0.00350775,2047.0,2.353766918182373
17,2.0,2048.0,29.627,0.0144734,0.0417539,2047.0,4.421160936355591
18,3.0,2048.0,107.825,0.0526744,0.115372,2047.0,4.839637994766235
19,4.0,2048.0,218.117,0.106555,0.204682,2047.0,5.4788172245025635
